start time,end time,all open bug,open high bug,open normal bug,open low bug,the other open bug,本周新增bug,本周解决bug
2019-07-13,2019-07-20,492,35,396,54,7,102,126
2019-07-06,2019-07-13,516,52,400,57,7,47,20
2019-06-29,2019-07-06,489,45,380,56,8,72,100
2019-06-22,2019-06-29,517,46,406,57,8,74,50
2019-06-15,2019-06-22,493,43,387,56,7,66,42
2019-06-08,2019-06-15,469,33,373,56,7,52,40
2019-06-01,2019-06-08,457,37,357,56,7,46,94
2019-05-25,2019-06-01,505,46,389,61,9,71,88
2019-05-18,2019-05-25,522,43,399,67,13,61,60
2019-05-11,2019-05-18,521,44,396,68,13,168,157
2019-05-04,2019-05-11,510,42,389,66,13,24,18
2019-04-27,2019-05-04,504,42,382,66,14,13,26
2019-04-20,2019-04-27,517,43,394,66,14,66,76
2019-04-13,2019-04-20,527,49,398,65,15,155,240
2019-04-06,2019-04-13,612,59,474,66,13,220,223
2019-03-30,2019-04-06,615,57,481,63,14,149,61
2019-03-23,2019-03-30,527,50,401,62,14,141,80
2019-03-16,2019-03-23,466,40,351,62,13,35,22
2019-03-09,2019-03-16,453,39,339,62,13,68,77
2019-03-02,2019-03-09,462,40,348,61,13,92,112
